start_lat,start_long,end_lat,end_long,start_time,end_time,mode
51.339797,-0.257274,51.337471,-0.25076,2023-01-13 16:07:22+00:00,2023-01-13 16:14:53+00:00,mode.WALK
51.337468,-0.250765,51.341486,-0.245979,2023-01-13 16:14:53+00:00,2023-01-13 16:29:33+00:00,mode.WALK
51.341487,-0.24597,51.341515,-0.245849,2023-01-13 16:29:33+00:00,2023-01-13 16:29:39+00:00,mode.WALK
51.341509,-0.245845,51.331587,-0.24506,2023-01-13 16:29:39+00:00,2023-01-13 16:48:44+00:00,mode.WALK
51.331589,-0.245065,51.331583,-0.245052,2023-01-13 16:48:44+00:00,2023-01-13 16:48:46+00:00,mode.WALK
51.331587,-0.245048,51.330478,-0.244132,2023-01-13 16:48:46+00:00,2023-01-13 16:49:37+00:00,mode.WALK
51.330465,-0.244127,51.33275,-0.249083,2023-01-13 16:49:37+00:00,2023-01-13 16:53:28+00:00,mode.WALK
51.332751,-0.249072,51.329084,-0.248652,2023-01-13 16:53:28+00:00,2023-01-13 16:56:12+00:00,mode.WALK
51.329069,-0.248647,51.327344,-0.243845,2023-01-13 16:56:12+00:00,2023-01-13 16:59:04+00:00,mode.WALK
51.327348,-0.243864,51.329834,-0.248292,2023-01-13 16:59:04+00:00,2023-01-13 17:01:23+00:00,mode.WALK
51.329839,-0.248285,51.338914,-0.256617,2023-01-13 17:01:23+00:00,2023-01-13 17:10:22+00:00,mode.WALK
51.33892,-0.256623,51.339931,-0.257127,2023-01-13 17:10:22+00:00,2023-01-13 17:11:08+00:00,mode.WALK
