lat,long,time
51.3398,-0.257197,2023-01-13 16:07:21+00:00
51.339797,-0.257274,2023-01-13 16:07:22+00:00
51.339792,-0.257319,2023-01-13 16:07:23+00:00
51.339779,-0.257355,2023-01-13 16:07:24+00:00
51.339766,-0.2574,2023-01-13 16:07:25+00:00
51.339757,-0.257431,2023-01-13 16:07:26+00:00
51.339744,-0.257439,2023-01-13 16:07:27+00:00
51.339731,-0.257424,2023-01-13 16:07:28+00:00
51.339702,-0.257392,2023-01-13 16:07:29+00:00
51.339676,-0.257372,2023-01-13 16:07:30+00:00
51.33965,-0.257346,2023-01-13 16:07:31+00:00
51.339623,-0.257324,2023-01-13 16:07:32+00:00
51.339598,-0.257307,2023-01-13 16:07:33+00:00
51.339573,-0.25729,2023-01-13 16:07:34+00:00
51.339547,-0.257271,2023-01-13 16:07:35+00:00
51.339523,-0.257254,2023-01-13 16:07:36+00:00
51.339498,-0.257238,2023-01-13 16:07:37+00:00
51.33948,-0.257218,2023-01-13 16:07:38+00:00
51.339452,-0.257191,2023-01-13 16:07:39+00:00
51.33943,-0.257161,2023-01-13 16:07:40+00:00
51.339397,-0.257135,2023-01-13 16:07:41+00:00
51.33937,-0.257111,2023-01-13 16:07:42+00:00
51.339342,-0.257078,2023-01-13 16:07:43+00:00
51.339321,-0.257046,2023-01-13 16:07:44+00:00
51.339302,-0.257012,2023-01-13 16:07:45+00:00
51.339277,-0.256977,2023-01-13 16:07:46+00:00
51.339255,-0.256946,2023-01-13 16:07:47+00:00
51.339239,-0.256917,2023-01-13 16:07:48+00:00
51.339226,-0.256904,2023-01-13 16:07:49+00:00
51.339203,-0.256869,2023-01-13 16:07:50+00:00
51.339186,-0.256827,2023-01-13 16:07:51+00:00
51.339169,-0.256784,2023-01-13 16:07:52+00:00
51.339158,-0.256744,2023-01-13 16:07:53+00:00
51.339153,-0.256702,2023-01-13 16:07:54+00:00
51.33915,-0.256669,2023-01-13 16:07:55+00:00
51.339153,-0.25662,2023-01-13 16:07:56+00:00
51.339162,-0.25659,2023-01-13 16:07:57+00:00
51.339176,-0.256554,2023-01-13 16:07:58+00:00
51.339199,-0.256522,2023-01-13 16:07:59+00:00
51.339221,-0.25649,2023-01-13 16:08:00+00:00
51.339238,-0.256458,2023-01-13 16:08:01+00:00
51.339262,-0.256423,2023-01-13 16:08:02+00:00
51.339282,-0.256394,2023-01-13 16:08:03+00:00
51.339308,-0.256363,2023-01-13 16:08:04+00:00
51.33933,-0.256331,2023-01-13 16:08:05+00:00
51.339354,-0.256299,2023-01-13 16:08:06+00:00
51.339375,-0.256269,2023-01-13 16:08:07+00:00
51.339393,-0.256242,2023-01-13 16:08:08+00:00
51.339415,-0.256207,2023-01-13 16:08:09+00:00
51.339426,-0.256188,2023-01-13 16:08:10+00:00
51.339455,-0.256145,2023-01-13 16:08:11+00:00
51.33947,-0.25612,2023-01-13 16:08:12+00:00
51.339497,-0.256076,2023-01-13 16:08:13+00:00
51.339512,-0.256048,2023-01-13 16:08:14+00:00
51.339543,-0.25601,2023-01-13 16:08:15+00:00
51.339558,-0.255986,2023-01-13 16:08:16+00:00
51.339589,-0.255947,2023-01-13 16:08:17+00:00
51.339609,-0.255918,2023-01-13 16:08:18+00:00
51.339632,-0.255883,2023-01-13 16:08:19+00:00
51.339643,-0.255855,2023-01-13 16:08:20+00:00
51.339655,-0.255824,2023-01-13 16:08:21+00:00
51.339673,-0.25579,2023-01-13 16:08:22+00:00
51.339702,-0.255741,2023-01-13 16:08:23+00:00
51.339724,-0.255703,2023-01-13 16:08:24+00:00
51.339742,-0.255672,2023-01-13 16:08:25+00:00
51.339759,-0.255639,2023-01-13 16:08:26+00:00
51.339778,-0.255596,2023-01-13 16:08:27+00:00
51.339789,-0.255568,2023-01-13 16:08:28+00:00
51.339796,-0.255523,2023-01-13 16:08:29+00:00
51.3398,-0.255479,2023-01-13 16:08:30+00:00
51.339795,-0.255457,2023-01-13 16:08:31+00:00
51.339796,-0.255411,2023-01-13 16:08:32+00:00
51.339788,-0.255374,2023-01-13 16:08:33+00:00
51.339782,-0.25532,2023-01-13 16:08:34+00:00
51.339772,-0.255282,2023-01-13 16:08:35+00:00
51.339755,-0.255232,2023-01-13 16:08:36+00:00
51.339746,-0.255201,2023-01-13 16:08:37+00:00
51.339725,-0.255145,2023-01-13 16:08:38+00:00
51.339714,-0.255108,2023-01-13 16:08:39+00:00
51.339692,-0.255054,2023-01-13 16:08:40+00:00
51.339671,-0.255018,2023-01-13 16:08:41+00:00
51.339644,-0.254979,2023-01-13 16:08:42+00:00
51.339621,-0.254948,2023-01-13 16:08:43+00:00
51.339595,-0.254915,2023-01-13 16:08:44+00:00
51.339568,-0.254886,2023-01-13 16:08:45+00:00
51.33954,-0.254861,2023-01-13 16:08:46+00:00
51.339519,-0.254843,2023-01-13 16:08:47+00:00
51.339494,-0.254814,2023-01-13 16:08:48+00:00
51.339478,-0.254797,2023-01-13 16:08:49+00:00
51.339455,-0.254764,2023-01-13 16:08:50+00:00
51.339427,-0.254729,2023-01-13 16:08:51+00:00
51.339411,-0.254713,2023-01-13 16:08:52+00:00
51.339397,-0.254698,2023-01-13 16:08:53+00:00
51.339378,-0.254692,2023-01-13 16:08:54+00:00
51.339361,-0.254678,2023-01-13 16:08:55+00:00
51.339343,-0.254662,2023-01-13 16:08:56+00:00
51.339327,-0.254643,2023-01-13 16:08:57+00:00
51.339303,-0.254612,2023-01-13 16:08:58+00:00
51.339286,-0.254596,2023-01-13 16:08:59+00:00
51.339258,-0.254565,2023-01-13 16:09:00+00:00
51.339236,-0.254543,2023-01-13 16:09:01+00:00
51.339212,-0.254519,2023-01-13 16:09:02+00:00
51.339189,-0.254496,2023-01-13 16:09:03+00:00
51.339159,-0.254463,2023-01-13 16:09:04+00:00
51.339141,-0.254438,2023-01-13 16:09:05+00:00
